sen,label
"Please note that to ensure regulatory compliance and for the protection of our customers and business, we may monitor and read e-mails sent to and from our server(s).",2
"Please print, review, sign and, if possible,get it notarized (if impossible, let me know.)",2
Pre-order your iPhone 5c today and get free delivery.*,2
Remember that Karen reads all my mail so don't send anything too personal.,2
"Rick , good result in California so far - what is the status of our plan for New England ICAP issues?",2
Send us an email and we would be happy to call your loved one and let them know a little bird told us so!,2
Shop now and get free standard ground shipping on any purchase of $35 or more!,2
"Shop our collection of cozy slippers for the family starting at $8.99 and take $10 off any online purchase of $50 or more* with coupon code ZZWREATH through Sunday, December 8th, 2013.",2
"Shop the latest styles during our biggest sale and save 1/2 off your second item of equal or lesser value, through Monday, November 11th.*",2
"Shop the latest styles during our biggest sale and save 1/2 off your second item of equal or lesser value, through Wednesday, September 25th.",2
"Should you have any questions or require additional information, please feel free to contact me via telephone at (415)244-6094 or via email JinRides@gmail.com.",2
"Should you have any questions, feel free to contact me at (713) 853-5707.",2
Simply use the link below to compare health plans now:,2
"Since I get everything that you forward, you may remove me from you distribution list.",2
So I can get an update on that when we talk tomorrow.,2
"Some email can not read our web mail, please write enerfaxgold-subscribe@egroups.com to subscribe to the identical email in a text format.",2
"Spend smarter this June after you authorize a MasterCard with a limit of up to $3,000.",2
Talk to Susan about joining the group.,2
"The Tuesday game's at 7:30, but thought it'd be nice to see an early game.",2
"The deadline for completion of Houston's bid to become home to USA Baseball is the end of September, so we would like to meet with you at your convenience by September 25, if at all possible.",2
"The rates on the attached spreadsheet would provide full cost recovery only after the project is fully subscribed, right?",2
They are going to remove this page soon so get it from here now before they take it away forever!,2
Think about items like that and lets discuss.,2
"Thursday, usual time?",2
"To continue using Handheld Contact for ACT! after your 14 day trial, visit $LINK to subscribe.",2
"To participate now, click here $LINK",2
"To protect your privacy, please confirm your email address by clicking here: Click here to activate and login!",2
"To reset your password, please visit the url below:",2
"To see how we treat your information, please review our privacy policy.",2
"To see this email, please view the HTML version.",2
"To visit your member page and earn rewards by completing surveys, please use the link below at any time:",2
"Twanda, would you please check my calendar and book me yes if I am available?",2
"Twitter 1.1 version update.2) Tumblr error modify.You can take funny pictures in the Magic Hour, please look separately with friends Share SNS in a variety of photos taken.All, it was MagicHour team to strive for an enjoyable life photo of you always.Thank you.",2
Upgrade to premium for only $1.55 and start a new romance today.,2
Ur daddy left the ph n the truck cal me asap,2
Use Localmind to connect to people on the ground and find _what's really happening_ anywhere you want to go.,2
Use this link to to join MOS Coaching Club today:,2
Use your free listings and subtitles to reach Halloween shoppers now.,2
Visit Dating for Hippies today and take advantage of our Flag Day deal.,2
We do not have recorded in the financial statements the $8M Cdn in done deals - you may want to look into that.,2
We want the data to be as good as possible.,2
"We've made about a zillion improvements to the app and we have some really exciting new features and benefits to share with you, so could you please click the link below to re-confirm that it's still OK to keep in touch?",2
"What about lunch tomorrow (we're all in the city), or at 5 PM (before the ball game)?",2
When are we going to start practicing for the A&M/UT FF Tourney - we need to get a team together and start practicing.,2
When you get a minute tomorrow page me (I'm mobile this week) and we can talk.,2
"With Sue coming back on Tuesday, and in the spirt of our gropes, it might be useful to discuss as a group prior to charging ahead.",2
You available to talk today?,2
"Your feedback is very important to us so if you would like to contact us with a question or comment, please click here:",2
" viadeo   Invitation   Hello,I would like to invite you to join my network of contacts.Kind regards,Tonyrull TonyrullYangon, hdj Confirm that you know Tonyrull  Message from Tonyrull Tonyrull   If you no longer want to receive invitations to join Viadeo: Unsubscribe ",2
"Should you not be able to call me, then I will send you a short memorandum about the situation on Monday.",2
"If you want to contact him, I'd wait 5-10 minutes and give him a call on his cell phone.",2
Let's sum up what you should remember about this offer:,2
Please contact Cathy Phillips (X-36898) and let her know if you are interested in attending.,2
"Also, I need to know the nature of the confidential information you are discussing so we can protect the information being discussed.",2
"Also, please let Lisa Bills know where we will be meeting, as she is planning on coming late to the meeting.",2
And we would love for Mr. Lay to stay for dinner - is this doable?,2
And why would you explode jars of paint?,2
"And, if you want to learn more about how we show you interesting, relevant ads, or how cookies and similar technologies help us do so, please visit our Ads and Cookies pages.",2
Are you available that date?,2
Are you available?,2
Be assured that any information we discuss will be completely confidential.,2
Below please find the requirement for China Visa.,2
"Bruce: I am tied up for lunch, but let's get together during the day on Monday or Tuesday.",2
"But if you have any time constraints or want to make sure you have plenty of time for integration, the beta will be available for you.",2
Call whenever you'd like to discuss the call (that Palmer forgot to tell you about).,2
"Can we invite him (the son, not the professor) to a Super Saturday?",2
Danny and Phil: Please follow-up with Vince if you have an interest in meeting with Peter.,2
Did you get my message about my parking tag?,2
Did you make it to earth day?,2
Did you respond to the Haas address?,2
Did you see on the news last night that they arrested 44 people for participating in that pyramid scheme you were telling me about?,2
Do you have any idea how long it will be before I get a replacement?,2
Do you know if this has been addressed?,2
Do you know if we are meeting on Monday?,2
Don't forget to chat with VNG about Nabisco.,2
"Even if you are still unsure about returning, please call us now to select YES as your returning status.",2
"Here’s a selection of books we think you’ll love, along with a few readers we’d like you to meet.",2
Hey Jeff - I'm still wondering if my last email made it through.,2
"I am sure that you are all ""talked out"" about it, but if you need an empathetic ear, give me a buzz.",2
"I did call and got credit on my bill, it doesnt just show up u need to make the call and they ask u how many days u were out I told them to fri and got 28.00 credit",2
I don't want to approve any further investments until we have had such a discussion.,2
"I saw that you had recently started looking into moving over to Egnyte, I would love to discuss some of the details of your current situation so that I can help get you up and going as quickly as possible with the features here at Egnyte that will best meet your current needs!",2
I wanted to follow up on our conversatian regarding the in house counsel that you may know.,2
"I was wondering if I could get some information on the Costilla deal, specifically the repurchase option.",2
I will be getting the schedule after work on Friday and will call and let you know when and where our games will be.,2
I will call you tomorrow after I talk with Sheri - should be by 11:00 am.,2
"If I don't make chanages, I will call you Friday afternoon after landing and let you know that.",2
"If not by e-mail, is it something that can be faxed?",2
"If not, I'd love to hear what we are doing wrong and how we could improve our Google Apps integrations to be more valuable to you.",2
"If you did, please let me know how to improve my application to make you want to use it again, I value my users and I'm always happy to receive feedback.",2
"If you don’t want to agree to arbitration, you can easily opt out via an online form, within 30-days of these Terms becoming effective.",2
"If you don’t want to keep your account open, you can cancel any time during your free trial or simply let the trial expire.",2
"If you experience any problems that you cannot resolve, please visit our support site at $LINK",2
"If you fit the above description and meet the requirements, please apply to this ad stating your location.",2
"If you have a question about your health or a procedure, call your healthcare professional directly.",2
"If you have any big ticket items you can plan for this school year, like a laptop, a scientific calculator, or new uniforms, you may want to add the items to your Wish List to ensure you’re on the right track with your savings to account for these special purchases.",2
"If you have any issues upgrading or difficulties with the new features, we're happy to help.",2
"If you have any other problems, please reopen this ticket.",2
"If you have any problem with the link, please copy the url below and paste it on your browser.",2
"If you have any question regarding PCHLotto, please visit the PCHlotto .com:",2
"If you have any thoughts on how to improve our service, please email us at: support@proven.com.",2
"If you prefer to purchase online, please Buy Now >> $LINK",2
Let me know how it goes!,2
Let me know if that can be arranged.,2
"Mario, can you tell me where to look for a GOOD pizza dough recipe?�",2
No- I'm meeting w/ Bradford at 11 to discuss.,2
Please call 1-877-428-5608 to speak with a support representative.,2
Please give us a call at (855) 962-3621 or reply to this email.,2
Please go here to complete your information and see if you qualify for financial aid.,2
Please provide me with an invite for Google+ App for iPhone4.,2
Please quote your order reference number if you wish to contact us about this order.,2
Please schedule this candidate for an interview.,2
Please send us an email if you have any problems during signup.,2
Scott will tell John Singer we need to get out of this capacity.,2
"That said, that may not be important for you and you won't mind sending me dollars.",2
"Therefore, please prepare a list of site specific issues for that document as well.",2
"This week, we take a look at the analysis you can do as a marketer to understand what content you should be developing, how you should share it, and what works on Twitter for your specific message.",2
"We are meeting with Mark on Wednesday to try and figure out the approval process for Australia, so maybe after Wednesday I'll start responding for them.",2
We can connect you with a professional that will help you understand your options and determine what program works best for you.,2
We can go out of town - i would love to get away - have you heard about the hilton in Austin?,2
We shoudl discuss putting together an automated sheet each day for cash trading.,2
"We will be marketing this conference to over 40,000 targeted individuals, including a direct mail of at least 25,000 and in addition an online and press campaign.",2
"We would probably need the ESA 2001 budget (income, expense, cashflow and capital) for the trading/marketing/EES business and the asset/regulated business in seperate formats.",2
What if you could borrow thousands and have up to 3 years to repay?,2
What is the address of the HR website where I can see my old pay stubs?,2
Who can I start sending all these pricing questions to?,2
Would be ideal if we can get this data on Thursday.,2
Would you like to meet them for a short courtesy meeting (5 - 10 minutes)?,2
You can get started today with Graham's free gift.,2
Any data you can provide will be helpful.,2
Are you still available Weds or Thurs a.m.,2
"Ben, are you available at 9am on Monday re ABB?",2
Do we have a list of attendants/agenda?,2
Do you think that you're boss is inclinded to put a call in to the governor regarding the importance of choice and/or sign and send letters to the leadership?,2
Do you want tickets to Astros game on Friday night?,2
"Eldon, are you and Bob planning to go up this week?",2
"Falcon -- review diligence reports, client discussions.",2
Have you had the boards out yet?,2
"I just wanted to follow-up with you to see what additional steps, if any, that TEKsystems may need to take in order to continue moving forward in the contract execution process.",2
I sent you a message regarding a dinner on Tuesday.,2
I want to leave you with a question:,2
I want to make some for the super bowl party this Sunday.,2
I would like to help you make your evaluation of the Software Update Wizard as successful as possible.,2
I'd like to recommend to you an app that I use to organize my tasks on the iPhone: Priority Matrix.,2
"If I'm incorrect, we'll need to get things squared away, like today.",2
"If energy is not delivered because of a Y2K problem, is that a force majeure event or otherwise excused?",2
"If that's all Dennis brings to the table (not counting his big bag of $$$$), does a deal with him really make sense?",2
"If you choose to let them stay paused, we'll send you an email at the beginning of the month reminding you to activate your Zaps again.",2
"If you'd like help getting started building your site or if there's anything unclear about Jimdo, I'm happy to help.",2
Our meetings will be much more effective you attend.,2
Per your voice mail I would like to defer 100% of my ECT Phantom Stock into the Stable Asset fund.,2
"Rick, are you on this, or should I get on it?",2
"Saturday, March 25 works for me.",2
So where are you kayaking this weekend?,2
We appreciate your feedback or question and we will try to address your response when we can.,2
We can help with any financial need.,2
"We need to turn in the final inventory list, get things resolved with Mary (be it good or bad) then we can buy Don out.",2
We would like to invite you back to continue.,2
Were I have to meet u.,2
We’d greatly appreciate any ideas on how we can improve.,2
"When I'm in need of some ""managing expertise"" in the future, I will give you a call.",2
Where did y'all meet?,2
Where did you get yours?,2
Will Enron cover the cost of having those returns prepared?,2
Please contact Sherri Sera (713/853-5984) or Suzanne Danz (713/853-6440) for the weekly dial-in number and passcode.,2
"Also, if you'd like to make suggestions of how to make the app better or tell me what you'd like to see in future versions, please be in touch.",2
"Also, should we set a time schedule?",2
And let me know what you think of it.,2
"As it is impossible for Dr Lay to participate at the Preparatory Meeting, we would be most grateful if you could nominate a delegate as well as send us his preliminary ideas on interesting issues and panellists for the programme.",2
But how often do you get a chance to tell us what you really think?,2
Can you mail me the family tree or send it email?,2
Do you want to deeply explore the memory info about your phone?,2
"Don, go ahead and set it up - what have been discussing with them on the gas side?",2
Go ahead and get the op control agreement signed by relevant parties and sent to the proper place.,2
"I am comfortable with your decisions, so feel free to go ahead with this.",2
"I get on the plane Houston at 6:30 AM PDT, so you'll have to do it solo.",2
I just want to make sure we aren't missing any deals in our model.,2
I look forward to hearing from you tomorrow.,2
I need to get a new gas daily product created.,2
I think you should have this conversation with the senior person and I will work on it at the board level.,2
"I'd like to hear your thoughts on Fanhattan, given that you were one of the early downloaders of our app over the past several months.",2
"If you do, you need to hurry.",2
Lets discuss this before we make offer.,2
"Mike, send to John Sherriff in Europe.",2
"Molly, could you please forward the ""thanks, but no thanks"" template letter to me?",2
"Or, would it be helpful at this point to meet with anyone else at Enron, to at least make the personal connection?",2
Saturday is good.,2
Someone please help me!!!,2
"Tammy, are you getting all these reports?",2
"There are plenty of options, but which product will you get?",2
"We have already scheduled an internal presentation on December 7. Please, go ahead and make a reservation.",2
We look forward to speaking with you in more detail about the ways we could potentially work together.,2
We wanted to let you know about some upcoming changes to Kicksend which may alter the way you use our app.,2
We'd love to get to know you better so that we can enhance our services and products.,2
Were you able to trace the package?,2
What do you want to do about this?,2
What moments will you capture with directr this week?,2
When do you think we will be able to get the Sitara number entered in the Link field in Tagg?,2
"Would you mind call Jerry Jerry BoBerry and see what he will tell you is the substance of their issues, and share with him our issues.",2
"Would you recommend Roger DiRuggiero, MD? Click one of the links below to leave feedback.",2
Would you vote to help us win the prestigious MobiPrize?,2
"With respect to that rush Guaranty for the referenced counterparty you so kindly got me on Monday, per our conversation, we will need an incumbency certificate for that guaranty as well.",2
Let's go out one night and have a few drinks.,2
Let's talk about it at the meeting.,2
"Scott, when would you like to go over the CNG scoop?",2
Let's set a meeting date for near future.,2
My recommendation is to call Mark Palmer first and discuss the book with him.,2
Do you foresee a problem with me leaving at 4pm that day?,2
"Please plan to dial into our conference call at 8:00 AM Pacific time on Tuesday, January 8th.",2
You win......but you still owe me lunch.,2
"If you'd like to speak your mind, reply directly to this email or get in touch at aubrey@attachments.me and I can set you up with private beta access to our rule catalog.",2
Wanna come eat with me?,2
You can catch me at the office on wed or next week at home.,2
"If you would like to speak with a sales representative, click the link below.",2
Let's try to use V&E on the e-signature things as much as possible.,2
Let's go out to lunch when you come back.,2
Please contact CrashPlan PROe Support.,2
"Please, call-in or attend when the meeting is set.",2
Would you like to connect with me in Linkedin?,2
Please share with the Birthday Boy.,2
Call me tonight and I'll give you all the gory details.,2
"Also, please set up a meeting for you and me with Phillippe Bibi to discuss getting help from IT to implement our plan.",2
Please whitelist our email address offers@paidoffers4all.com,2
Please mark on your calendars to attend given current discussions about the gas organization.,2
"Please copy and paste them as above, click Submit to register.",2
Thursday sounds great and just let me know about Friday.,2
Send me your number and I'll give you a call.,2
"I'd like to send you an Amazon gift card if the change caused you any inconvenience - just reply with your feedback, or call me at (855) 962-3621.",2
Paul How about meeting at 11:30 or 12? I am in the office so give me a call.,2
To remind me to discuss this with you when you get in:,2
## Please do not write below this line ##,2
"- If this was not you, please log into Facebook from your computer and follow the instructions provided to help you control your account information.",2
A meeting is being scheduled so we can discuss these matters further.,2
"After reviewing your presentation, here are some tough questions that we can discuss tomorrow:",2
After you activate your account you will be able to login.,2
"Also, I'd love to talk to you this weekend if possible about Prentice's bday festivities.",2
"Also, do you know if Skipper is planning to attend.",2
"Also, please check the volumes.",2
"Also, please come join us Thursday, March 22 for a webinar hosted by John Boyer—the creator of Skedi.",2
"Also, please forward to me what I owe you for the plane flight and golf and our share of dinners, drinks, guacamole, etc.",2
"Also, please have the new transport index positions at Socal that we are booking tomorrow included in the new KRS column in the physindex tab.",2
"Also, please tell Jeff A. that I'm still doing reconnaissance on smart types to join your group.",2
"Alternatively, since I'll be on the call anyway, you can leave me a voicemail, or call me at 707.884.4608, and I can relay those points that you feel are most important to communicate.",2
An e-mail or voicemail on major developments as they occur would be helpful.,2
"And if things work out, please consider a meeting with me to ta lk about a job.",2
"And if you want to make sharing photos as easy as taking them, download one of our apps at $LINK",2
"And if you want to talk more about dinner, please call me.",2
"And please email me rest of expenses when you get a chance so I can write you a check for everything (plane,phone, golf, etc., etc.)",2
"And to be an even bigger pain.....since my schedule's a disaster with school coming to a close, could you stick the check in the mail?",2
And will you call me?,2
"Andrea, would it be possible to update our list to show the current progress on the ""30 days"" items?",2
Any help you can give Kevin would be much appreciated.,2
Any help you can give me in setting up training w/ someone that will be able to answer our questions is greatly appreciated.,2
"Anyway, just wanted to check to make sure you got a copy - Let me know if you need any help.",2
Are folks available for a call tomorrow at 9 AM to begin preparing for the meeting with Sempra next week?,2
Are you available for a conference call with David Hunt and me tomorrow?,2
Are you available to speak with me for a few minutes sometime this week?,2
Ask Joseph to reserve the large conference room.,2
"At your leisure and prior to the November OCD meeting, prepare a memo to file of the resaons and justification based upon the report results and data why Eunice is not the bad guy in this and why Texaco is.",2
Backups are for your eyes only - you choose if you want to share them.,2
"Ben wants to know if you, Marissa and Carolyn are available for lunch tomorrow at 1130.",2
"Bill, can you set up a meeting to discuss credit issues.",2
Bob - Please check with Vance on this deal.,2
Both of you should feel free to call me at home over the weekend to 20 discuss things further.,2
"Brett, can you give me the particulars on the four MEH turbines (ie) scheduled delivery, price, fuel options, heat rate, output,etc - including transferablility to NA.",2
"But for today, I'd like you to keep an open mind.",2
"But, if anything should happen, you could leave me a voicemail at home and I will check it once every hour after 1:00 PM on Friday.",2
CPage: Would you please forward this directly to Pat?,2
"Call me on my cell, or page me after you meeting this afternoon and let's discuss.",2
Call me so that we can discuss.,2
Can I get the daily Data going back to Apr 98?,2
Can I get you more resources to cover the market more aggresively?,2
Can I please extend the 45 million var and the contracts in the power book until the Board meeting on October 11th.,2
Can anyone tell me what it means?,2
Can both of you forward the telluride pictures to me so I can get them developed?,2
Can set up a conference call with me and Remi Cologne in Brazil this week.,2
Can we discuss this - I can be reached at the numbers below?,2
Can we invite them to the dinner on the 18th and to the meetings on Friday?,2
Can we meet to talk about it on Monday?,2
Can we move that meeting up to 11:00 am?,2
Can we schedule a conference call with the HR folks at Celgar?,2
Can we try to set up a quick call to discuss?,2
Can you afford NOT to have health coverage?,2
Can you afford to go without health insurance until the next Obamacare open enrollment period in November?,2
Can you come and see me when you get in.,2
Can you e:mail a copy to Tom Hopwood?,2
Can you forward me exact address of conference site so I can include on Sally's itinerary.,2
Can you get in touch w/Eldon?,2
Can you get the person that reports to Bob Hall to give me an update on our moves from 30 so that I can get back with Jeff this week?,2
Can you give me a call sometime Tuesday afternoon.,2
Can you give me a call when you have a minute on Tuesday afternoon (after 1pm when trading is done) and I will come by and see you.,2
Can you give me any info that may be made available?,2
Can you have the same constraint language included on the PG&E Topock location for creating the phys forward (fixed price) product?,2
Can you join us?,2
Can you join?,2
Can you make a call to discuss the PG&E strategy on Wednesday?,2
Can you meet me Tuesday morning with all the deals they have with us.,2
Can you please send me your current home address so we can send you an organizer?,2
"Can you send me a copy of Pan Energy's spreadsheet for Sept, also?",2
Can you talk early Monday AM w/me & Tribolet re: core/noncore analysis for Hertzberg?,2
"Can you, please, join us tomorrow to discuss it.",2
Carlos - Please check with measurement to determine if this volume is correct.,2
"Christy, can we send these documents in word format - I'm not sure if this is a problem for everyone but I can never open these attachments from Braeswell.",2
Come back and let us know you're ok!,2
Could I ask you to try it out and send me some feedback?,2
Could I get an outline of their 2 day course to review in order to make this decision?,2
Could we do our call at noon or 2 pm California time?,2
Could we have a corporate jet available for folks stuck in the A&A PRC? Other?,2
Could we schedule a conference call for Friday or Monday to discuss any questions/issues.,2
Could you come see me when you get a minute.,2
Could you e-mail me your mailing address so I can send off a cheque.,2
Could you give me a call (x6910) and help me out.,2
Could you please provide me and Twanda with the particulars so that we can paper it up?,2
Could you refresh my memory on what I owe you for the coastal and the acacia and I'll quickly send you a check right now! Thanks again for the lobster and fun last weekend.,2
"Could you, please, advise me what is the best hotel where we could stay overnight, close to your location?",2
"Couple of points, I would hope you would share with your group on Monday:",2
"David, Can you resend 1/26/00 MPR?",2
"David, once you get the demand lets discuss before deployment.",2
Did you ever send CES copies of the demand charges for Jan 2000.,2
Did you get the changes that we discussed yesterday included before the response to the RFP went to CMS?,2
Did you get the other speaker yet?,2
Did you get the tickets?,2
Do we need to get together and discuss with Dave?,2
Do you get to see each other much?,2
Do you mind if I meet with Carl and Severin and Rich next time I'm over at Haas to discuss this a bit with them?,2
Do you need me to get you anything over here and ship it to London?,2
Do you run a business where you need to send partially-completed documents out to workers in the field?,2
Do you still want to receive our daily job alerts?,2
Do you want me to put them on the list for the Legal/Credit meeting as a reminder?,2
Do you want to get together for a drink one night this week?,2
Do you want to meet by the garage?,2
Don can you try and find a time next week with Lew for me to have dinner - get Beverly to schedule the plane to get me in and out that day.,2
